policy,timestep,sensitivity_weighted_tile_error,mean_assigned_noise_std,sensitivity_weighted_mean_assigned_noise_std,capacity_utilization,shards_on_faulted_tiles,shards_on_unavailable_tiles,projections_on_faulted_tiles,projections_on_unavailable_tiles,placement_feasible,service_failure,available_capacity_utilization
random,44,53.88536949606872,0.025263349405998586,0.025180285071500875,0.857421875,13,0,8,0,True,False,0.857421875
random,45,54.10734110977643,0.025379841010161174,0.02522499844440519,0.857421875,13,0,8,0,True,False,0.857421875
random,46,54.280538277263,0.025390963306195523,0.025265453152107254,0.857421875,13,0,8,0,True,False,0.857421875
random,47,54.313756813318555,0.025449644608176454,0.02527637174660686,0.857421875,13,0,8,0,True,False,0.857421875
random,48,54.081768487572084,0.025434655752580575,0.02523340215713141,0.857421875,13,0,8,0,True,False,0.857421875
random,49,54.06303007320477,0.025456153523125174,0.025238225295923476,0.857421875,13,0,8,0,True,False,0.857421875
random,50,55.00117091035146,0.025654129452256803,0.02545170474338614,0.857421875,13,0,8,0,True,False,0.857421875
random,51,55.54135071169704,0.025742087530545504,0.025552917983043145,0.857421875,13,0,8,0,True,False,0.857421875
random,52,55.457121275425855,0.025713701853847904,0.025540213889485602,0.857421875,13,0,8,0,True,False,0.857421875
random,53,54.366569734029525,0.025537112319137543,0.025288589126948688,0.857421875,13,0,8,0,True,False,0.857421875
random,54,54.40572888985778,0.02542103329730571,0.025290339086320893,0.857421875,13,0,8,0,True,False,0.857421875
random,55,54.39470734603162,0.02547223812661804,0.02528716477824323,0.857421875,13,0,8,0,True,False,0.857421875
random,56,54.88303669252147,0.025577964973796954,0.025406131795518462,0.857421875,13,0,8,0,True,False,0.857421875
random,57,54.72491332255161,0.025591483468148775,0.02537650862700028,0.857421875,13,0,8,0,True,False,0.857421875
random,58,54.85308581064584,0.025597634428297763,0.025412255298043578,0.857421875,13,0,8,0,True,False,0.857421875
random,59,54.12501848790738,0.025414129710047872,0.025219708982072816,0.857421875,13,0,8,0,True,False,0.857421875
random,60,53.320548574787054,0.025303830885060254,0.025049988743157656,0.857421875,13,0,8,0,True,False,0.857421875
random,61,54.12220022361293,0.02547568379678362,0.02524448821382498,0.857421875,13,0,8,0,True,False,0.857421875
random,62,54.5676198833466,0.02551363512395224,0.025335098547274375,0.857421875,13,0,8,0,True,False,0.857421875
random,63,53.88241876963328,0.0254298698189659,0.025183613505173404,0.857421875,13,0,8,0,True,False,0.857421875
random,64,53.965712882090095,0.0254485224804434,0.02517833284918686,0.857421875,13,0,8,0,True,False,0.857421875
random,65,54.08321664494903,0.025452705093446968,0.025200134872812165,0.857421875,13,0,8,0,True,False,0.857421875
random,66,53.68146044082925,0.02534358975096284,0.025107664111043537,0.857421875,13,0,8,0,True,False,0.857421875
random,67,54.485241724779165,0.025553966217689555,0.025297811832021573,0.857421875,26,0,13,0,True,False,0.857421875
random,68,55.18608375617002,0.02583800355288098,0.025452574955665032,0.857421875,40,0,19,0,True,False,0.857421875
random,69,55.721165609608256,0.025934162315539005,0.025590537278644916,0.857421875,40,0,19,0,True,False,0.857421875
random,70,57.10291423839334,0.026366454519927435,0.0259221008234965,0.857421875,53,0,23,0,True,False,0.857421875
random,71,57.5980172630583,0.026428445921083003,0.026038887054360863,0.857421875,53,0,23,0,True,False,0.857421875
random,72,57.56399308000202,0.026348763161044536,0.02602968132669598,0.857421875,53,0,23,0,True,False,0.857421875
random,73,56.43172076174427,0.02616077526104235,0.02578301131332909,0.857421875,53,0,23,0,True,False,0.857421875
random,74,57.53461148071285,0.026330728070349745,0.026021794741655228,0.857421875,53,0,23,0,True,False,0.857421875
random,75,57.40550096416972,0.026355635376116612,0.02599663669086119,0.857421875,53,0,23,0,True,False,0.857421875
random,76,57.70416219781371,0.026369043008624384,0.026070237685218163,0.857421875,53,0,23,0,True,False,0.857421875
random,77,58.821177279193705,0.026620888817211016,0.026304234329812718,0.857421875,53,0,23,0,True,False,0.857421875
random,78,58.906085340002,0.02661815185706057,0.026317291190513112,0.857421875,53,0,23,0,True,False,0.857421875
random,79,58.82118164225677,0.026688053308560517,0.026294006826864034,0.857421875,53,0,23,0,True,False,0.857421875
random,80,58.85102214155811,0.026711267556695423,0.026297726605705802,0.857421875,53,0,23,0,True,False,0.857421875
random,81,58.22276806692305,0.026562062667509247,0.026133342473485997,0.857421875,53,0,23,0,True,False,0.857421875
random,82,58.420372181916385,0.02659435250098834,0.02620534283499959,0.857421875,53,0,23,0,True,False,0.857421875
random,83,56.869399948857975,0.02644827515678766,0.025853011580284455,0.857421875,53,0,23,0,True,False,0.857421875
random,84,56.86478374614622,0.026423903438280587,0.025844244479329894,0.857421875,53,0,23,0,True,False,0.857421875
random,85,57.00989551658267,0.026479972935698683,0.02588391517424181,0.857421875,53,0,23,0,True,False,0.857421875
random,86,57.53277697140882,0.026576305923868098,0.026005831587030733,0.857421875,53,0,23,0,True,False,0.857421875
random,87,57.76757407026948,0.026652647715203818,0.026037842970186083,0.857421875,53,0,23,0,True,False,0.857421875
random,88,58.46186594204997,0.026792199983702546,0.026209844624982225,0.857421875,53,0,23,0,True,False,0.857421875
random,89,58.833387200021136,0.02689276785294676,0.026298045386172104,0.857421875,53,0,23,0,True,False,0.857421875
random,90,58.35302053415812,0.02678266278469645,0.02619618930727996,0.857421875,53,0,23,0,True,False,0.857421875
random,91,58.387600561639864,0.0267562432616582,0.026193851353020922,0.857421875,53,0,23,0,True,False,0.857421875
