policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,group_total_weights,module_num_weights,shard_weight,sensitivity_score,shard_importance,utilization
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r39c0,embedding/token_embedding,embedding,token_embedding,-100,16,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r39c1,embedding/token_embedding,embedding,token_embedding,-100,21,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r40c0,embedding/token_embedding,embedding,token_embedding,-100,36,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r40c1,embedding/token_embedding,embedding,token_embedding,-100,41,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r41c0,embedding/token_embedding,embedding,token_embedding,-100,29,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r41c1,embedding/token_embedding,embedding,token_embedding,-100,20,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r42c0,embedding/token_embedding,embedding,token_embedding,-100,11,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r42c1,embedding/token_embedding,embedding,token_embedding,-100,50,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r43c0,embedding/token_embedding,embedding,token_embedding,-100,39,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r43c1,embedding/token_embedding,embedding,token_embedding,-100,48,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r44c0,embedding/token_embedding,embedding,token_embedding,-100,3,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r44c1,embedding/token_embedding,embedding,token_embedding,-100,30,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r45c0,embedding/token_embedding,embedding,token_embedding,-100,24,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r45c1,embedding/token_embedding,embedding,token_embedding,-100,55,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r46c0,embedding/token_embedding,embedding,token_embedding,-100,4,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r46c1,embedding/token_embedding,embedding,token_embedding,-100,57,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r47c0,embedding/token_embedding,embedding,token_embedding,-100,54,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r47c1,embedding/token_embedding,embedding,token_embedding,-100,49,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r48c0,embedding/token_embedding,embedding,token_embedding,-100,10,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r48c1,embedding/token_embedding,embedding,token_embedding,-100,0,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r49c0,embedding/token_embedding,embedding,token_embedding,-100,60,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r49c1,embedding/token_embedding,embedding,token_embedding,-100,28,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r50c0,embedding/token_embedding,embedding,token_embedding,-100,44,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r50c1,embedding/token_embedding,embedding,token_embedding,-100,26,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r51c0,embedding/token_embedding,embedding,token_embedding,-100,52,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r51c1,embedding/token_embedding,embedding,token_embedding,-100,12,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r52c0,embedding/token_embedding,embedding,token_embedding,-100,35,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r52c1,embedding/token_embedding,embedding,token_embedding,-100,53,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r53c0,embedding/token_embedding,embedding,token_embedding,-100,38,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r53c1,embedding/token_embedding,embedding,token_embedding,-100,32,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r54c0,embedding/token_embedding,embedding,token_embedding,-100,58,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r54c1,embedding/token_embedding,embedding,token_embedding,-100,13,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r55c0,embedding/token_embedding,embedding,token_embedding,-100,51,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r55c1,embedding/token_embedding,embedding,token_embedding,-100,62,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r56c0,embedding/token_embedding,embedding,token_embedding,-100,2,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r56c1,embedding/token_embedding,embedding,token_embedding,-100,27,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r57c0,embedding/token_embedding,embedding,token_embedding,-100,37,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r57c1,embedding/token_embedding,embedding,token_embedding,-100,5,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r58c0,embedding/token_embedding,embedding,token_embedding,-100,34,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r58c1,embedding/token_embedding,embedding,token_embedding,-100,56,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r59c0,embedding/token_embedding,embedding,token_embedding,-100,43,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r59c1,embedding/token_embedding,embedding,token_embedding,-100,6,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r60c0,embedding/token_embedding,embedding,token_embedding,-100,61,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r60c1,embedding/token_embedding,embedding,token_embedding,-100,8,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r61c0,embedding/token_embedding,embedding,token_embedding,-100,63,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r61c1,embedding/token_embedding,embedding,token_embedding,-100,15,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r62c0,embedding/token_embedding,embedding,token_embedding,-100,17,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
