policy,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,tile_id,tier_start,tiers_used,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score,shard_importance
random,decoder_stack.layers.0.token_embedding#r60c0,embedding/token_embedding,embedding,token_embedding,-100,60,0,61,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r60c1,embedding/token_embedding,embedding,token_embedding,-100,60,1,8,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r61c0,embedding/token_embedding,embedding,token_embedding,-100,61,0,63,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r61c1,embedding/token_embedding,embedding,token_embedding,-100,61,1,15,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r62c0,embedding/token_embedding,embedding,token_embedding,-100,62,0,17,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r62c1,embedding/token_embedding,embedding,token_embedding,-100,62,1,47,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r63c0,embedding/token_embedding,embedding,token_embedding,-100,63,0,1,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r63c1,embedding/token_embedding,embedding,token_embedding,-100,63,1,14,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r64c0,embedding/token_embedding,embedding,token_embedding,-100,64,0,60,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r64c1,embedding/token_embedding,embedding,token_embedding,-100,64,1,61,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r65c0,embedding/token_embedding,embedding,token_embedding,-100,65,0,62,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r65c1,embedding/token_embedding,embedding,token_embedding,-100,65,1,63,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r66c0,embedding/token_embedding,embedding,token_embedding,-100,66,0,0,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r66c1,embedding/token_embedding,embedding,token_embedding,-100,66,1,1,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r67c0,embedding/token_embedding,embedding,token_embedding,-100,67,0,2,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r67c1,embedding/token_embedding,embedding,token_embedding,-100,67,1,3,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r68c0,embedding/token_embedding,embedding,token_embedding,-100,68,0,4,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r68c1,embedding/token_embedding,embedding,token_embedding,-100,68,1,5,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r69c0,embedding/token_embedding,embedding,token_embedding,-100,69,0,6,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r69c1,embedding/token_embedding,embedding,token_embedding,-100,69,1,8,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r70c0,embedding/token_embedding,embedding,token_embedding,-100,70,0,42,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r70c1,embedding/token_embedding,embedding,token_embedding,-100,70,1,31,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r71c0,embedding/token_embedding,embedding,token_embedding,-100,71,0,16,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r71c1,embedding/token_embedding,embedding,token_embedding,-100,71,1,21,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r72c0,embedding/token_embedding,embedding,token_embedding,-100,72,0,36,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r72c1,embedding/token_embedding,embedding,token_embedding,-100,72,1,41,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r73c0,embedding/token_embedding,embedding,token_embedding,-100,73,0,29,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r73c1,embedding/token_embedding,embedding,token_embedding,-100,73,1,20,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r74c0,embedding/token_embedding,embedding,token_embedding,-100,74,0,11,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r74c1,embedding/token_embedding,embedding,token_embedding,-100,74,1,50,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r75c0,embedding/token_embedding,embedding,token_embedding,-100,75,0,39,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r75c1,embedding/token_embedding,embedding,token_embedding,-100,75,1,48,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r76c0,embedding/token_embedding,embedding,token_embedding,-100,76,0,3,6,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r76c1,embedding/token_embedding,embedding,token_embedding,-100,76,1,30,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r77c0,embedding/token_embedding,embedding,token_embedding,-100,77,0,24,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r77c1,embedding/token_embedding,embedding,token_embedding,-100,77,1,55,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r78c0,embedding/token_embedding,embedding,token_embedding,-100,78,0,4,6,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r78c1,embedding/token_embedding,embedding,token_embedding,-100,78,1,57,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r79c0,embedding/token_embedding,embedding,token_embedding,-100,79,0,54,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r79c1,embedding/token_embedding,embedding,token_embedding,-100,79,1,49,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r80c0,embedding/token_embedding,embedding,token_embedding,-100,80,0,10,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r80c1,embedding/token_embedding,embedding,token_embedding,-100,80,1,0,6,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r81c0,embedding/token_embedding,embedding,token_embedding,-100,81,0,60,5,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r81c1,embedding/token_embedding,embedding,token_embedding,-100,81,1,28,5,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r82c0,embedding/token_embedding,embedding,token_embedding,-100,82,0,44,5,1,262144,38597376,0.006791757035504175,0.0,0.0
