timestep,mean_noise_std,std_noise_std,min_noise_std,max_noise_std,mean_fidelity_score,min_fidelity_score,max_fidelity_score,available_tiles,faulted_tiles,high_fidelity_tiles,medium_fidelity_tiles,low_fidelity_tiles
99,0.02743574967884051,0.008371678718948112,0.013260186360518995,0.045384139556013704,0.4408346550850077,0.2043480850830517,0.7505328829767075,72,6,15,28,29
100,0.02750109423963753,0.00839906729827779,0.013239870440046372,0.0453815291838246,0.4397888251800761,0.20436678971938632,0.7511066015907791,72,6,15,28,29
101,0.02752730764707305,0.008499518251030215,0.01303126300372248,0.04507003810909303,0.4399470192386531,0.20661573949371775,0.7569970545624608,72,6,15,28,29
102,0.027488567385316538,0.008505327307879897,0.01304364465944749,0.045305149111961936,0.4406618810177684,0.20491513263852776,0.7566474849976433,72,6,15,29,28
103,0.02739090475430424,0.008481357113656895,0.01262882545420536,0.04531624692304157,0.4422972114484404,0.20483533476631435,0.768351212835472,72,6,15,28,29
104,0.027497195006897103,0.008510194789018544,0.012622075299718866,0.04594806906219067,0.4405568899839811,0.20036170776087237,0.768541479194856,72,6,15,27,30
105,0.027562628196371668,0.008491723534645461,0.012900287875763977,0.045458024716704244,0.4392552894694978,0.2038196330046533,0.7606941949541397,72,6,15,26,31
106,0.027620987956245863,0.00851078318261369,0.01271289643175947,0.04554481373836509,0.43827383226350314,0.20320127994544362,0.7659809076226182,72,6,15,27,30
107,0.02777431719497137,0.008570311993740693,0.012852254013126917,0.04546702587298847,0.43581173070834495,0.2037553817984077,0.7620497131383726,72,6,15,28,29
108,0.027835773262162983,0.008638847560119746,0.012708050220114241,0.04639384082690937,0.43511702145604314,0.19728584894543394,0.7661175708875163,72,6,15,28,29
109,0.027863611512736815,0.008650828918821534,0.012609834283937442,0.04719110572971828,0.43462081044805,0.19194481556844775,0.7688864969550115,72,6,11,31,30
110,0.02793647113883915,0.008659170834331265,0.012829628132387368,0.0471926643497946,0.4333586045790103,0.19193457057920943,0.7626881338438267,72,6,13,29,30
111,0.027848266151511387,0.00866187427511765,0.012798469145760272,0.047624869938241526,0.4349698574596388,0.18912254113758717,0.7635672338636385,72,6,13,27,32
112,0.028210272579095745,0.008798172409578957,0.013133242371164297,0.0482443785773889,0.4293160778491778,0.185190367331175,0.7541176514692896,72,6,11,28,33
113,0.028249955874007915,0.008805919771197322,0.012908884982604014,0.04893928255343098,0.42868111383606383,0.18091325014417553,0.7604515605419275,72,6,11,28,33
114,0.02828788245268268,0.008765874450218782,0.013036132717292336,0.04949130034038608,0.42776397981036474,0.1776128080838819,0.7568595696991042,72,6,11,28,33
115,0.028216728660888053,0.008738305539985364,0.012958938282507172,0.04919431847868695,0.42888374310792643,0.17937791646850434,0.7590387873267503,72,6,13,26,33
116,0.02816212929914303,0.008690972266045325,0.01285342198228528,0.04860740137524031,0.4295220813582524,0.18293867137455433,0.7620167557676657,72,6,11,27,34
117,0.028206079424243677,0.008722610012821354,0.012941268969888568,0.049557320287217904,0.428987218270438,0.17722370558167533,0.7595375344820268,72,6,14,24,34
118,0.02822689911687067,0.008723229592686977,0.013154473708877392,0.05001917579162704,0.42859292857390763,0.1745345830116086,0.7535181263940117,72,6,14,25,33
119,0.028389015907805935,0.008733439927499314,0.013407425954045616,0.04982430566354304,0.42573990820475544,0.17566221963776116,0.746374927473836,72,6,11,28,33
