policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,sim_input_start,sim_input_end,sim_output_start,sim_output_end,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score,sensitivity_score_unit,sensitivity_reference_noise_std,shard_importance
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r5c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,5,1,2560,3072,512,768,55,1,1,512,256,131072,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848
random,decoder_stack.layers.1.q_proj_out,decoder_stack.layers.1.q_proj_out#r0c0,block_2/attn.c_attn,block_2,attn.c_attn,200,0,0,0,512,0,512,40,2,1,512,512,262144,1769472,0.14814814814814814,1.7787354935574413,delta_ppl_total,0.023,0.2635163694159172
random,decoder_stack.layers.1.q_proj_out,decoder_stack.layers.1.q_proj_out#r0c1,block_2/attn.c_attn,block_2,attn.c_attn,200,0,1,0,512,512,768,41,2,1,512,256,131072,1769472,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586
random,decoder_stack.layers.1.q_proj_out,decoder_stack.layers.1.q_proj_out#r1c0,block_2/attn.c_attn,block_2,attn.c_attn,200,1,0,512,768,0,512,43,2,1,256,512,131072,1769472,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586
random,decoder_stack.layers.1.q_proj_out,decoder_stack.layers.1.q_proj_out#r1c1,block_2/attn.c_attn,block_2,attn.c_attn,200,1,1,512,768,512,768,44,2,1,256,256,65536,1769472,0.037037037037037035,1.7787354935574413,delta_ppl_total,0.023,0.0658790923539793
random,decoder_stack.layers.1.k_proj_out,decoder_stack.layers.1.k_proj_out#r0c0,block_2/attn.c_attn,block_2,attn.c_attn,200,0,0,0,512,0,512,68,2,1,512,512,262144,1769472,0.14814814814814814,1.7787354935574413,delta_ppl_total,0.023,0.2635163694159172
random,decoder_stack.layers.1.k_proj_out,decoder_stack.layers.1.k_proj_out#r0c1,block_2/attn.c_attn,block_2,attn.c_attn,200,0,1,0,512,512,768,69,2,1,512,256,131072,1769472,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586
random,decoder_stack.layers.1.k_proj_out,decoder_stack.layers.1.k_proj_out#r1c0,block_2/attn.c_attn,block_2,attn.c_attn,200,1,0,512,768,0,512,70,2,1,256,512,131072,1769472,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586
random,decoder_stack.layers.1.k_proj_out,decoder_stack.layers.1.k_proj_out#r1c1,block_2/attn.c_attn,block_2,attn.c_attn,200,1,1,512,768,512,768,71,2,1,256,256,65536,1769472,0.037037037037037035,1.7787354935574413,delta_ppl_total,0.023,0.0658790923539793
random,decoder_stack.layers.1.v_proj_out,decoder_stack.layers.1.v_proj_out#r0c0,block_2/attn.c_attn,block_2,attn.c_attn,200,0,0,0,512,0,512,35,5,1,512,512,262144,1769472,0.14814814814814814,1.7787354935574413,delta_ppl_total,0.023,0.2635163694159172
random,decoder_stack.layers.1.v_proj_out,decoder_stack.layers.1.v_proj_out#r0c1,block_2/attn.c_attn,block_2,attn.c_attn,200,0,1,0,512,512,768,37,5,1,512,256,131072,1769472,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586
random,decoder_stack.layers.1.v_proj_out,decoder_stack.layers.1.v_proj_out#r1c0,block_2/attn.c_attn,block_2,attn.c_attn,200,1,0,512,768,0,512,38,5,1,256,512,131072,1769472,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586
random,decoder_stack.layers.1.v_proj_out,decoder_stack.layers.1.v_proj_out#r1c1,block_2/attn.c_attn,block_2,attn.c_attn,200,1,1,512,768,512,768,39,5,1,256,256,65536,1769472,0.037037037037037035,1.7787354935574413,delta_ppl_total,0.023,0.0658790923539793
random,decoder_stack.layers.1.out_proj,decoder_stack.layers.1.out_proj#r0c0,block_1/attn.c_proj,block_1,attn.c_proj,101,0,0,0,512,0,512,14,4,1,512,512,262144,589824,0.4444444444444444,0.3935577137229167,delta_ppl_total,0.023,0.17491453943240742
random,decoder_stack.layers.1.out_proj,decoder_stack.layers.1.out_proj#r0c1,block_1/attn.c_proj,block_1,attn.c_proj,101,0,1,0,512,512,768,16,4,1,512,256,131072,589824,0.2222222222222222,0.3935577137229167,delta_ppl_total,0.023,0.08745726971620371
random,decoder_stack.layers.1.out_proj,decoder_stack.layers.1.out_proj#r1c0,block_1/attn.c_proj,block_1,attn.c_proj,101,1,0,512,768,0,512,17,4,1,256,512,131072,589824,0.2222222222222222,0.3935577137229167,delta_ppl_total,0.023,0.08745726971620371
random,decoder_stack.layers.1.out_proj,decoder_stack.layers.1.out_proj#r1c1,block_1/attn.c_proj,block_1,attn.c_proj,101,1,1,512,768,512,768,19,4,1,256,256,65536,589824,0.1111111111111111,0.3935577137229167,delta_ppl_total,0.023,0.043728634858101856
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c0,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,0,0,512,0,512,40,5,1,512,512,262144,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c1,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,1,0,512,512,1024,41,5,1,512,512,262144,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c2,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,2,0,512,1024,1536,43,5,1,512,512,262144,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c3,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,3,0,512,1536,2048,44,5,1,512,512,262144,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c4,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,4,0,512,2048,2560,45,5,1,512,512,262144,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388
