policy,timestep,sensitivity_weighted_variance_proxy,quality_proxy_delta_nll,weighted_noise_sum,mean_weighted_tile_noise,reference_noise_std,proxy_noise_scaling,shard_weight,shards_on_faulted,shards_on_unavailable,projections_on_faulted,projections_on_unavailable,available_tiles,faulted_tiles
random,47,50.716612823374476,50.716612823374476,50.716612823374476,0.02575711193572948,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,48,51.49287123128892,51.49287123128892,51.49287123128892,0.025876139173190288,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,49,51.901592207718714,51.901592207718714,51.901592207718714,0.02585381818560044,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,50,52.02010566590488,52.02010566590488,52.02010566590488,0.025802304329443585,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,51,51.24055784781839,51.24055784781839,51.24055784781839,0.025772580640625722,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,52,51.888088655295235,51.888088655295235,51.888088655295235,0.025825865398357264,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,53,52.14952127914489,52.14952127914489,52.14952127914489,0.02584071411632452,0.023,variance_ratio_squared,48.000000000000284,6,0,6,0,72,1
random,54,51.847002463147085,51.847002463147085,51.847002463147085,0.025926852343870266,0.023,variance_ratio_squared,48.000000000000284,6,0,6,0,72,1
random,55,51.74768296008595,51.74768296008595,51.74768296008595,0.026035520417277525,0.023,variance_ratio_squared,48.000000000000284,6,0,6,0,72,1
random,56,52.24958419547201,52.24958419547201,52.24958419547201,0.026069449016205243,0.023,variance_ratio_squared,48.000000000000284,6,0,6,0,72,1
random,57,52.09789473926052,52.09789473926052,52.09789473926052,0.026116171536372447,0.023,variance_ratio_squared,48.000000000000284,12,0,9,0,72,2
random,58,51.26452465202809,51.26452465202809,51.26452465202809,0.025852775242895712,0.023,variance_ratio_squared,48.000000000000284,12,0,9,0,72,2
random,59,51.772270904797175,51.772270904797175,51.772270904797175,0.02600665576633005,0.023,variance_ratio_squared,48.000000000000284,12,0,9,0,72,2
random,60,53.07298419261002,53.07298419261002,53.07298419261002,0.026383445444983843,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,61,53.10737381462023,53.10737381462023,53.10737381462023,0.026466992051343206,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,62,51.79383626726137,51.79383626726137,51.79383626726137,0.026185958505405966,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,63,52.388342384187006,52.388342384187006,52.388342384187006,0.026239517805387143,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,64,51.62240092199803,51.62240092199803,51.62240092199803,0.02615787349110703,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,65,51.30733219254802,51.30733219254802,51.30733219254802,0.026061722195876925,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,66,51.14901449163406,51.14901449163406,51.14901449163406,0.026089955175960196,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,67,51.728456863573896,51.728456863573896,51.728456863573896,0.026197857693163584,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,68,52.15666810797611,52.15666810797611,52.15666810797611,0.0262085631583673,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,69,52.82878392884385,52.82878392884385,52.82878392884385,0.026439824361804608,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,70,54.130117729659894,54.130117729659894,54.130117729659894,0.026712585861302266,0.023,variance_ratio_squared,48.000000000000284,25,0,20,0,72,4
random,71,57.110362665210225,57.110362665210225,57.110362665210225,0.027078593586999013,0.023,variance_ratio_squared,48.000000000000284,32,0,27,0,72,5
random,72,56.4667099752739,56.4667099752739,56.4667099752739,0.02699262583699132,0.023,variance_ratio_squared,48.000000000000284,32,0,27,0,72,5
random,73,56.81540912469541,56.81540912469541,56.81540912469541,0.027150040072800485,0.023,variance_ratio_squared,48.000000000000284,32,0,27,0,72,5
random,74,57.28802207781149,57.28802207781149,57.28802207781149,0.027145256058172786,0.023,variance_ratio_squared,48.000000000000284,32,0,27,0,72,5
random,75,57.54070622993162,57.54070622993162,57.54070622993162,0.027241596268402706,0.023,variance_ratio_squared,48.000000000000284,32,0,27,0,72,5
random,76,57.28348026107325,57.28348026107325,57.28348026107325,0.02713112579431349,0.023,variance_ratio_squared,48.000000000000284,32,0,27,0,72,5
