policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,sim_input_start,sim_input_end,sim_output_start,sim_output_end,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,group_total_weights,module_num_weights,shard_weight,sensitivity_score,sensitivity_score_unit,sensitivity_reference_noise_std,shard_importance,utilization,trace_seed,placement_seed
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r0c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,0,0,0,512,0,512,17,1,1,512,512,262144,2359296,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r0c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,0,1,0,512,512,768,23,1,1,512,256,131072,2359296,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848,0.5,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r1c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,1,0,512,1024,0,512,71,1,1,512,512,262144,2359296,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r1c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,1,1,512,1024,512,768,46,1,1,512,256,131072,2359296,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848,0.5,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r2c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,2,0,1024,1536,0,512,37,0,1,512,512,262144,2359296,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r2c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,2,1,1024,1536,512,768,60,0,1,512,256,131072,2359296,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848,0.5,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r3c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,3,0,1536,2048,0,512,24,0,1,512,512,262144,2359296,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r3c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,3,1,1536,2048,512,768,43,0,1,512,256,131072,2359296,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848,0.5,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r4c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,4,0,2048,2560,0,512,67,0,1,512,512,262144,2359296,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r4c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,4,1,2048,2560,512,768,41,0,1,512,256,131072,2359296,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848,0.5,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r5c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,5,0,2560,3072,0,512,38,0,1,512,512,262144,2359296,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r5c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,5,1,2560,3072,512,768,14,0,1,512,256,131072,2359296,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848,0.5,42,42
static_sensitivity,decoder_stack.layers.1.q_proj_out,decoder_stack.layers.1.q_proj_out#r0c0,block_2/attn.c_attn,block_2,attn.c_attn,200,0,0,0,512,0,512,8,0,1,512,512,262144,1769472,589824,0.14814814814814814,1.7787354935574413,delta_ppl_total,0.023,0.2635163694159172,1.0,42,42
static_sensitivity,decoder_stack.layers.1.q_proj_out,decoder_stack.layers.1.q_proj_out#r0c1,block_2/attn.c_attn,block_2,attn.c_attn,200,0,1,0,512,512,768,9,0,1,512,256,131072,1769472,589824,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586,0.5,42,42
static_sensitivity,decoder_stack.layers.1.q_proj_out,decoder_stack.layers.1.q_proj_out#r1c0,block_2/attn.c_attn,block_2,attn.c_attn,200,1,0,512,768,0,512,10,0,1,256,512,131072,1769472,589824,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586,0.5,42,42
static_sensitivity,decoder_stack.layers.1.q_proj_out,decoder_stack.layers.1.q_proj_out#r1c1,block_2/attn.c_attn,block_2,attn.c_attn,200,1,1,512,768,512,768,11,0,1,256,256,65536,1769472,589824,0.037037037037037035,1.7787354935574413,delta_ppl_total,0.023,0.0658790923539793,0.25,42,42
static_sensitivity,decoder_stack.layers.1.k_proj_out,decoder_stack.layers.1.k_proj_out#r0c0,block_2/attn.c_attn,block_2,attn.c_attn,200,0,0,0,512,0,512,4,0,1,512,512,262144,1769472,589824,0.14814814814814814,1.7787354935574413,delta_ppl_total,0.023,0.2635163694159172,1.0,42,42
static_sensitivity,decoder_stack.layers.1.k_proj_out,decoder_stack.layers.1.k_proj_out#r0c1,block_2/attn.c_attn,block_2,attn.c_attn,200,0,1,0,512,512,768,5,0,1,512,256,131072,1769472,589824,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586,0.5,42,42
static_sensitivity,decoder_stack.layers.1.k_proj_out,decoder_stack.layers.1.k_proj_out#r1c0,block_2/attn.c_attn,block_2,attn.c_attn,200,1,0,512,768,0,512,6,0,1,256,512,131072,1769472,589824,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586,0.5,42,42
static_sensitivity,decoder_stack.layers.1.k_proj_out,decoder_stack.layers.1.k_proj_out#r1c1,block_2/attn.c_attn,block_2,attn.c_attn,200,1,1,512,768,512,768,7,0,1,256,256,65536,1769472,589824,0.037037037037037035,1.7787354935574413,delta_ppl_total,0.023,0.0658790923539793,0.25,42,42
