timestep,mean_noise_std,std_noise_std,min_noise_std,max_noise_std,mean_fidelity_score,min_fidelity_score,max_fidelity_score,available_tiles,faulted_tiles,high_fidelity_tiles,medium_fidelity_tiles,low_fidelity_tiles
91,0.026670394829491476,0.007474624212278067,0.014023531750429039,0.04101135827798203,0.4497991453212007,0.23926566613779318,0.7289920985406244,64,4,13,29,22
92,0.02653123020588318,0.007410113389799946,0.0139472033658843,0.040778804632911975,0.4520485026439458,0.24134192600657706,0.731143193296803,64,4,13,30,21
93,0.026544481216890816,0.0074104304984626175,0.01394096843331965,0.04074964583950282,0.4517995167607037,0.24160396136026732,0.7313189473706558,64,4,13,29,22
94,0.026617565238526694,0.007433930881205565,0.014025444258554906,0.040470341457834395,0.45055537964150727,0.24413335348217732,0.7289382122652168,64,4,13,30,21
95,0.026790573845756026,0.007476021843631931,0.014171033655301592,0.04069145060385531,0.447556229143716,0.2421280739222874,0.7248380538138018,64,4,13,28,23
96,0.026647937967101184,0.007449844571614066,0.014039228571771636,0.04063685894008634,0.4500798230597478,0.24262111845960432,0.7285498478465143,64,4,13,28,23
97,0.026650104672558142,0.007448330739731264,0.014065254134812865,0.04040970865169513,0.4500294474636126,0.2446871263136191,0.7278166835016341,64,4,13,29,22
98,0.026724496149093488,0.007486253115216546,0.01406585209640445,0.04032939275316755,0.44884848453377546,0.24542325984862362,0.727799839767023,64,4,13,29,22
99,0.02669510777630745,0.007511278808183462,0.013918219075647133,0.04038004077195251,0.44954142618500503,0.24495870212882373,0.7319602695314145,64,4,13,29,22
100,0.026706973967128428,0.007522075065783306,0.013968862845004593,0.040177065679351594,0.449377573323148,0.24682756512874945,0.7305326891036328,64,4,13,29,22
101,0.026791251491818692,0.007574663207723508,0.013965886484950413,0.040490402274014035,0.4480945229464396,0.24395050294099901,0.7306165778588337,64,4,14,28,22
102,0.02663719464025386,0.007486478763560437,0.013958780561452853,0.04012506481858773,0.4504867983633798,0.2473094199915497,0.7308168640195988,64,4,13,29,22
103,0.026706652964305924,0.007530952500692046,0.013850703473089556,0.040752507867123484,0.44943708638931124,0.24157822488485783,0.7338640225746993,64,4,13,28,23
104,0.02673778929832724,0.007560461632267757,0.01374428394614121,0.041225883896860036,0.44902309039528393,0.23737157391017916,0.7368659482621226,64,4,13,28,23
105,0.026753640628977417,0.007629376249622823,0.013637930227977196,0.040670840927483146,0.4491106643162467,0.24231405228490488,0.7398672375119166,64,4,13,28,23
106,0.02679341944207749,0.0076135890978002475,0.013714081520419629,0.040908242696977654,0.44828070930023833,0.24018332165322295,0.7377181448421829,64,4,13,28,23
107,0.026801059799003997,0.007613998906437039,0.013905264750942916,0.040706606987775305,0.4481314037068344,0.2419914272388521,0.7323254960278612,64,4,13,28,23
108,0.026834885789383804,0.007592390729779731,0.01402641674429447,0.040862873955298536,0.44737936331016537,0.24058856773448714,0.7289108120258119,64,4,13,28,23
109,0.026781086211177592,0.007545211817487233,0.013933411220733221,0.04101101102854875,0.44812552845178594,0.23926874850620258,0.7315319825478696,64,4,13,28,23
110,0.02674180508256299,0.007512460583496745,0.013872708064866065,0.041124287276443766,0.4486793825040867,0.23826607115823611,0.7332434849401999,64,4,12,29,23
111,0.026746750125396884,0.007542252735071297,0.013838321269131003,0.0411700962939894,0.4487536600093029,0.23786219044018944,0.734213233438349,64,4,13,28,23
112,0.026861240330496857,0.007550820932825896,0.01390830559304658,0.041150993572656704,0.44666860065619685,0.2380304999683663,0.7322397621629906,64,4,12,29,23
113,0.026854662959764766,0.007568220987796169,0.013896030114588868,0.04096151892798381,0.446887320276839,0.2397086122532178,0.732585866565818,64,4,12,29,23
114,0.026871319101006628,0.0075377013608334265,0.014118280423796403,0.040694555418642156,0.446400688056119,0.24210007316157164,0.7263232600076326,64,4,13,28,23
115,0.026919462911854042,0.007566455426487684,0.01400734393864531,0.041571751073681044,0.4456722589341805,0.23436006653736974,0.7294482262259838,64,4,13,27,24
116,0.026911995691631038,0.007565027758450782,0.013910650978033434,0.04152810485008625,0.4457977704690755,0.23473725370046006,0.7321736370082981,64,4,13,27,24
117,0.027031680706522426,0.007542819359952165,0.0140180964643009,0.04173900056261085,0.4434487317312725,0.23292224573918185,0.7291452449558176,64,4,13,26,25
118,0.02708465613060297,0.007551096271693212,0.014028142210777821,0.04185315495101178,0.4425147973616911,0.23194769714915275,0.7288621965972036,64,4,13,25,26
119,0.027110509853486467,0.007551682304026594,0.014011246883621514,0.04244718346275816,0.44202654336686475,0.22696426572055628,0.7293382480512518,64,4,12,27,25
