shard_id,projection_id,hf_module_path,sim_module_path,sim_layer,qkv_component,canonical_row_start,canonical_row_end,canonical_col_start,canonical_col_end,tile_id,tier_id,policy,placement_seed,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score
decoder_stack.layers.0.ffn2#r5c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,2560,3072,512,768,30,2,random,42,131072,2359296,0.05555555555555555,4.487542215682108
decoder_stack.layers.1.q_proj_out#r0c0,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.q_proj_out,1,Q,0,512,0,512,29,12,random,42,262144,1769472,0.14814814814814814,0.05939068599004962
decoder_stack.layers.1.q_proj_out#r0c1,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.q_proj_out,1,Q,0,512,512,768,30,12,random,42,131072,1769472,0.07407407407407407,0.05939068599004962
decoder_stack.layers.1.q_proj_out#r1c0,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.q_proj_out,1,Q,512,768,0,512,31,12,random,42,131072,1769472,0.07407407407407407,0.05939068599004962
decoder_stack.layers.1.q_proj_out#r1c1,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.q_proj_out,1,Q,512,768,512,768,32,12,random,42,65536,1769472,0.037037037037037035,0.05939068599004962
decoder_stack.layers.1.k_proj_out#r0c0,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.k_proj_out,1,K,768,1280,0,512,38,7,random,42,262144,1769472,0.14814814814814814,0.05939068599004962
decoder_stack.layers.1.k_proj_out#r0c1,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.k_proj_out,1,K,768,1280,512,768,39,7,random,42,131072,1769472,0.07407407407407407,0.05939068599004962
decoder_stack.layers.1.k_proj_out#r1c0,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.k_proj_out,1,K,1280,1536,0,512,41,7,random,42,131072,1769472,0.07407407407407407,0.05939068599004962
decoder_stack.layers.1.k_proj_out#r1c1,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.k_proj_out,1,K,1280,1536,512,768,42,7,random,42,65536,1769472,0.037037037037037035,0.05939068599004962
decoder_stack.layers.1.v_proj_out#r0c0,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.v_proj_out,1,V,1536,2048,0,512,34,12,random,42,262144,1769472,0.14814814814814814,0.05939068599004962
decoder_stack.layers.1.v_proj_out#r0c1,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.v_proj_out,1,V,1536,2048,512,768,35,12,random,42,131072,1769472,0.07407407407407407,0.05939068599004962
decoder_stack.layers.1.v_proj_out#r1c0,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.v_proj_out,1,V,2048,2304,0,512,36,12,random,42,131072,1769472,0.07407407407407407,0.05939068599004962
decoder_stack.layers.1.v_proj_out#r1c1,block_1/attn.c_attn,transformer.h.2.attn.c_attn,decoder_stack.layers.1.v_proj_out,1,V,2048,2304,512,768,37,12,random,42,65536,1769472,0.037037037037037035,0.05939068599004962
decoder_stack.layers.1.out_proj#r0c0,block_1/attn.c_proj,transformer.h.1.attn.c_proj,decoder_stack.layers.1.out_proj,1,,0,512,0,512,6,13,random,42,262144,589824,0.4444444444444444,0.39447440805461687
decoder_stack.layers.1.out_proj#r0c1,block_1/attn.c_proj,transformer.h.1.attn.c_proj,decoder_stack.layers.1.out_proj,1,,0,512,512,768,8,13,random,42,131072,589824,0.2222222222222222,0.39447440805461687
decoder_stack.layers.1.out_proj#r1c0,block_1/attn.c_proj,transformer.h.1.attn.c_proj,decoder_stack.layers.1.out_proj,1,,512,768,0,512,10,13,random,42,131072,589824,0.2222222222222222,0.39447440805461687
decoder_stack.layers.1.out_proj#r1c1,block_1/attn.c_proj,transformer.h.1.attn.c_proj,decoder_stack.layers.1.out_proj,1,,512,768,512,768,11,13,random,42,65536,589824,0.1111111111111111,0.39447440805461687
decoder_stack.layers.1.ffn1#r0c0,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,0,512,0,512,23,10,random,42,262144,2359296,0.1111111111111111,1.3571183341494883
decoder_stack.layers.1.ffn1#r0c1,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,0,512,512,1024,25,10,random,42,262144,2359296,0.1111111111111111,1.3571183341494883
decoder_stack.layers.1.ffn1#r0c2,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,0,512,1024,1536,7,10,random,42,262144,2359296,0.1111111111111111,1.3571183341494883
